CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2019
01004;Ambérieu-en-Bugey;9.8
01033;Bellegarde-sur-Valserine;6
01034;Belley;9.8
01043;Beynost;8.1
01053;Bourg-en-Bresse;11.7
01093;Châtillon-sur-Chalaronne;7.5
01134;Crottet;5.5
01143;Divonne-les-Bains;8.6
01160;Ferney-Voltaire;6.2
01173;Gex;5.7
01185;Hauteville-Lompnes;4.1
01194;Jassans-Riottier;7.8
01202;Lagnieu;6.2
01244;Meximieux;6.9
01249;Miribel;6.9
01262;Montluel;4.6
01266;Montrevel-en-Bresse;6.1
01269;Nantua;6.3
01283;Oyonnax;5.3
01289;Péronnas;5.9
01305;Pont-de-Vaux;7.1
01333;Saint-André-de-Corcy;8.1
01344;Saint-Denis-lès-Bourg;7.1
01348;Saint-Didier-sur-Chalaronne;4.9
01354;Saint-Genis-Pouilly;4.2
01419;Thoiry;3.3
01427;Trévoux;8.2
01443;Villars-les-Dombes;9.3
01451;Viriat;5.8
01457;Vonnas;2.7
02018;Anizy-le-Château;3.6
02095;Bohain-en-Vermandois;6.2
02141;La Capelle;6.9
02163;Charly-sur-Marne;3.4
02168;Château-Thierry;7.1
02173;Chauny;6.4
02305;Fère-en-Tardenois;4.2
02340;Gauchy;4.5
02361;Guise;6.1
02381;Hirson;8.2
02408;Laon;6.5
02468;Marle;4.5
02558;Le Nouvion-en-Thiérache;9.2
02691;Saint-Quentin;10.1
02722;Soissons;7.3
02738;Tergnier;5.7
02789;Vervins;4.6
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;5.2
03023;Bellerive-sur-Allier;6.4
03036;Bourbon-l'Archambault;11.6
03082;Commentry;9.8
03084;Cosne-d'Allier;7.1
03095;Cusset;5.8
03101;Domérat;6.1
03102;Dompierre-sur-Besbre;8
03118;Gannat;7.4
03138;Lapalisse;7.3
03165;Le Mayet-de-Montagne;6.4
03185;Montluçon;10.1
03186;Montmarault;6.4
03190;Moulins;9.8
03236;Saint-Germain-des-Fossés;6.8
03254;Saint-Pourçain-sur-Sioule;7
03298;Varennes-sur-Allier;2.3
03310;Vichy;12.7
03321;Yzeure;5.6
04019;Barcelonnette;17
04039;Castellane;9.9
04049;Château-Arnoux-Saint-Auban;10.2
04070;Digne-les-Bains;10.3
04088;Forcalquier;11.4
04094;Gréoux-les-Bains;38.1
04112;Manosque;12.1
04143;Oraison;6.3
04166;Riez;7.5
