CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2021
11262;Narbonne;11.5
11266;Port-la-Nouvelle;0
11304;Quillan;7.8
11315;Rieux-Minervois;8.1
11379;Sigean;10.7
11397;Trèbes;10.7
12033;Bozouls;8.7
12056;Baraqueville;5.4
12089;Decazeville;6.6
12094;Entraygues-sur-Truyère;9.6
12096;Espalion;11.6
12119;Laguiole;11.5
12120;Laissac-Sévérac l'Église;11
12133;Luc-la-Primaube;11.1
12138;Marcillac-Vallon;7.9
12145;Millau;8.7
12148;Montbazens;11.6
12164;Mur-de-Barrez;7.9
12169;Naucelle;11.3
12176;Onet-le-Château;5.1
12185;Pont-de-Salars;7.6
12197;Réquista;9.5
12198;Rieupeyroux;9.1
12199;Rignac;5.3
12202;Rodez;8.6
12208;Saint-Affrique;7.5
12224;Saint Geniez d'Olt et d'Aubrac;4.7
12270;Sévérac d'Aveyron;8.8
12300;Villefranche-de-Rouergue;7.3
13001;Aix-en-Provence;14.1
13002;Allauch;13.1
13004;Arles;10.6
13005;Aubagne;17
13007;Auriol;8.5
13014;Berre-l'Étang;6.6
13015;Bouc-Bel-Air;13.1
13019;Cabriès;6
13022;Cassis;15.9
13026;Châteauneuf-les-Martigues;6.2
13027;Châteaurenard;7.7
13028;La Ciotat;12.8
13031;La Destrousse;12.8
13032;Éguilles;10.4
13035;Eyguières;8.3
13037;La Fare-les-Oliviers;6.9
13039;Fos-sur-Mer;10.2
13040;Fuveau;9.1
13041;Gardanne;11.5
13042;Gémenos;9.3
13043;Gignac-la-Nerthe;9.1
13046;Gréasque;11.2
13047;Istres;7.1
13050;Lambesc;11.1
13051;Lançon-Provence;7.8
13053;Mallemort;9.2
13054;Marignane;15.1
13056;Martigues;10.3
13063;Miramas;4.9
13069;Pélissanne;6.7
13070;La Penne-sur-Huveaune;9.2
13071;Les Pennes-Mirabeau;10.6
13074;Peyrolles-en-Provence;9
13075;Plan-de-Cuques;7.7
13077;Port-de-Bouc;6.6
13078;Port-Saint-Louis-du-Rhône;5.9
13081;Rognac;4.1
13084;La Roque-d'Anthéron;7.4
13086;Roquevaire;6.9
13087;Rousset;7
13091;Saint-Cannat;10.7
13092;Saint-Chamas;12
13097;Saint-Martin-de-Crau;7.7
13098;Saint-Mitre-les-Remparts;6.9
13100;Saint-Rémy-de-Provence;15.3
13102;Saint-Victoret;10.6
13103;Salon-de-Provence;10.3
13104;Sausset-les-Pins;15.8
13105;Sénas;10.1
13106;Septèmes-les-Vallons;8
13110;Trets;11
13112;Velaux;13
13113;Venelles;12.5
13117;Vitrolles;12.9
13119;Carnoux-en-Provence;12.8
13201;Marseille 1er Arrondissement;12
13202;Marseille 2e Arrondissement;11.1
13203;Marseille 3e Arrondissement;12.4
13204;Marseille 4e Arrondissement;11.6
13205;Marseille 5e Arrondissement;9.8
13206;Marseille 6e Arrondissement;18.3
13207;Marseille 7e Arrondissement;17.9
13208;Marseille 8e Arrondissement;16.9
13209;Marseille 9e Arrondissement;11.1
13210;Marseille 10e Arrondissement;8.4
13211;Marseille 11e Arrondissement;9.8
13212;Marseille 12e Arrondissement;10.3
13213;Marseille 13e Arrondissement;10.8
13214;Marseille 14e Arrondissement;10
13215;Marseille 15e Arrondissement;6.3
13216;Marseille 16e Arrondissement;11.2
14020;Argences;9.2
14027;Les Monts d'Aunay;7.1
14047;Bayeux;7.3
14101;Bretteville-sur-Odon;8.8
14117;Cabourg;7.1
14118;Caen;16.3
14167;Colombelles;7.8
14174;Condé-en-Normandie;6.9
14191;Courseulles-sur-Mer;10.3
14220;Deauville;15.1
14225;Dives-sur-Mer;9.8
14228;Douvres-la-Délivrande;8
14258;Falaise;6
14327;Hérouville-Saint-Clair;11.4
14333;Honfleur;8.1
14341;Ifs;8.8
14342;Isigny-sur-Mer;11.4
14366;Lisieux;5.5
14370;Le Molay-Littry;4.4
14371;Livarot-Pays-d'Auge;3.1
14431;Mézidon Vallée d'Auge;6.1
14437;Mondeville;9.1
14478;Orbec;4.5
