CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2012
01004;Ambérieu-en-Bugey;10.1
01033;Bellegarde-sur-Valserine;7.5
01034;Belley;10.3
01043;Beynost;8
01053;Bourg-en-Bresse;11.9
01093;Châtillon-sur-Chalaronne;6.8
01134;Crottet;5.7
01143;Divonne-les-Bains;12.3
01160;Ferney-Voltaire;9.7
01173;Gex;5.5
01185;Hauteville-Lompnes;5.8
01194;Jassans-Riottier;7.3
01202;Lagnieu;6.1
01244;Meximieux;7
01249;Miribel;6.5
01262;Montluel;5
01266;Montrevel-en-Bresse;7
01269;Nantua;6.9
01283;Oyonnax;7.2
01289;Péronnas;6.8
01305;Pont-de-Vaux;10.2
01333;Saint-André-de-Corcy;8.7
01344;Saint-Denis-lès-Bourg;7.5
01348;Saint-Didier-sur-Chalaronne;4.2
01354;Saint-Genis-Pouilly;5
01419;Thoiry;3.9
01427;Trévoux;9.6
01443;Villars-les-Dombes;8
01451;Viriat;6.1
01457;Vonnas;3.8
02018;Anizy-le-Château;6.1
02095;Bohain-en-Vermandois;7.3
02141;La Capelle;8.5
02163;Charly-sur-Marne;6.1
02168;Château-Thierry;7.1
02173;Chauny;7.6
02305;Fère-en-Tardenois;4.9
02340;Gauchy;5.8
02361;Guise;5.8
02381;Hirson;7.9
02408;Laon;8
02468;Marle;6.6
02558;Le Nouvion-en-Thiérache;7.3
02691;Saint-Quentin;10.5
02722;Soissons;9.6
02738;Tergnier;6.8
02789;Vervins;5.3
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;6.9
03023;Bellerive-sur-Allier;6.4
03036;Bourbon-l'Archambault;8.3
03082;Commentry;8.3
03084;Cosne-d'Allier;9.1
03095;Cusset;8.7
03101;Domérat;6.5
03102;Dompierre-sur-Besbre;10.2
03118;Gannat;9.1
03138;Lapalisse;9.5
03165;Le Mayet-de-Montagne;6
03185;Montluçon;12.9
03186;Montmarault;9.5
03190;Moulins;11
03236;Saint-Germain-des-Fossés;8.4
03254;Saint-Pourçain-sur-Sioule;7.1
03298;Varennes-sur-Allier;5.7
03310;Vichy;13.3
03321;Yzeure;6.1
04019;Barcelonnette;16.2
04039;Castellane;13.7
04049;Château-Arnoux-Saint-Auban;10.4
04070;Digne-les-Bains;10.6
04088;Forcalquier;11.8
04094;Gréoux-les-Bains;19.7
04112;Manosque;13.3
04143;Oraison;11.5
04166;Riez;8.6
04173;Saint-André-les-Alpes;11.6
04209;Sisteron;8.4
05006;L'Argentière-la-Bessée;10.6
05023;Briançon;11.4
05046;Embrun;12.1
05061;Gap;13.2
05065;Guillestre;9.8
05070;Laragne-Montéglin;6.7
05132;Saint-Bonnet-en-Champsaur;15.2
05179;Veynes;11.7
06004;Antibes;13.2
06011;Beaulieu-sur-Mer;15.5
06012;Beausoleil;16.4
06018;Biot;10.6
06027;Cagnes-sur-Mer;13.6
06029;Cannes;15.2
06030;Le Cannet;13.7
06033;Carros;8
06044;La Colle-sur-Loup;9.9
06048;Contes;8.9
06065;La Gaude;2.9
06069;Grasse;9.6
06079;Mandelieu-la-Napoule;16.3
06083;Menton;12.8
06084;Mouans-Sartoux;15.7
06085;Mougins;11.1
06088;Nice;14.5
06090;Pégomas;7.4
06095;Peymeinade;12.4
06099;Puget-Théniers;11.3
06104;Roquebrune-Cap-Martin;8.7
06105;Roquefort-les-Pins;11
06123;Saint-Laurent-du-Var;13.3
06130;Saint-Vallier-de-Thiey;6.4
06149;La Trinité;10.4
06152;Valbonne;14.7
06155;Vallauris;8.1
06157;Vence;11.5
06159;Villefranche-sur-Mer;16.6
06161;Villeneuve-Loubet;7.3
06163;Tende;5.7
07010;Annonay;7.9
07019;Aubenas;9.2
07042;Bourg-Saint-Andéol;10.2
07064;Le Cheylard;8.8
07102;Guilherand-Granges;15.4
07110;Joyeuse;9.6
07129;Lamastre;8.7
07132;Largentière;7.1
07186;Privas;8.4
07201;Ruoms;8.4
07204;Saint-Agrève;13.4
07281;Saint-Péray;10.7
07319;Le Teil;8.4
07324;Tournon-sur-Rhône;7.4
07330;Vallon-Pont-d'Arc;9.5
07331;Vals-les-Bains;11.1
07334;Les Vans;10.2
07338;Vernoux-en-Vivarais;10.8
07349;La Voulte-sur-Rhône;10.8
08090;Carignan;9.3
08105;Charleville-Mézières;9.6
08185;Fumay;7.6
08190;Givet;8.2
08302;Monthermé;8.6
08328;Nouzonville;10.3
08362;Rethel;7.1
08363;Revin;7.2
08367;Rocroi;8.3
08409;Sedan;8.3
08490;Vouziers;10.5
08491;Vrigne aux Bois;11.4
09032;Ax-les-Thermes;N/A
09122;Foix;N/A
09160;Lavelanet;N/A
09167;Lézat-sur-Lèze;N/A
09185;Mazères;N/A
09194;Mirepoix;N/A
09225;Pamiers;N/A
09261;Saint-Girons;N/A
09282;Saverdun;N/A
09306;Tarascon-sur-Ariège;N/A
10003;Aix-Villemaur-Pâlis;6.4
10006;Arcis-sur-Aube;4.8
10033;Bar-sur-Aube;7.3
10034;Bar-sur-Seine;7.3
10064;Brienne-le-Château;5.9
10081;La Chapelle-Saint-Luc;7
10268;Nogent-sur-Seine;5.2
10323;Romilly-sur-Seine;5.6
10333;Saint-André-les-Vergers;7.4
10343;Saint-Julien-les-Villas;5.7
10362;Sainte-Savine;8.2
10387;Troyes;11
11049;Bram;N/A
11069;Carcassonne;N/A
11076;Castelnaudary;N/A
11106;Coursan;N/A
11129;Espéraza;N/A
11202;Leucate;N/A
11203;Lézignan-Corbières;N/A
11206;Limoux;N/A
11262;Narbonne;N/A
11266;Port-la-Nouvelle;N/A
11304;Quillan;N/A
11315;Rieux-Minervois;N/A
11379;Sigean;N/A
11397;Trèbes;N/A
12033;Bozouls;N/A
12056;Baraqueville;N/A
12089;Decazeville;0
12094;Entraygues-sur-Truyère;N/A
12096;Espalion;N/A
12119;Laguiole;15.6
12120;Laissac-Sévérac l'Église;N/A
12133;Luc-la-Primaube;N/A
12138;Marcillac-Vallon;N/A
12145;Millau;N/A
12148;Montbazens;N/A
12164;Mur-de-Barrez;0
12169;Naucelle;N/A
12176;Onet-le-Château;N/A
12185;Pont-de-Salars;N/A
12197;Réquista;N/A
12198;Rieupeyroux;N/A
12199;Rignac;N/A
12202;Rodez;N/A
12208;Saint-Affrique;N/A
12224;Saint Geniez d'Olt et d'Aubrac;N/A
12270;Sévérac d'Aveyron;N/A
12300;Villefranche-de-Rouergue;N/A
13001;Aix-en-Provence;16.1
13002;Allauch;8.2
13004;Arles;13.3
13005;Aubagne;16.2
13007;Auriol;8.5
13014;Berre-l'Étang;6.6
13015;Bouc-Bel-Air;12
13019;Cabriès;10.5
13022;Cassis;15.5
13026;Châteauneuf-les-Martigues;7.7
13027;Châteaurenard;9.6
13028;La Ciotat;12.4
13031;La Destrousse;11.9
13032;Éguilles;11.5
13035;Eyguières;8.9
13037;La Fare-les-Oliviers;11.6
13039;Fos-sur-Mer;8.5
13040;Fuveau;10
13041;Gardanne;13.6
13042;Gémenos;9.1
13043;Gignac-la-Nerthe;12.4
13046;Gréasque;7.6
13047;Istres;10.8
13050;Lambesc;11.9
13051;Lançon-Provence;8.4
13053;Mallemort;11
13054;Marignane;13.3
13056;Martigues;10.9
13063;Miramas;6.7
13069;Pélissanne;6.5
13070;La Penne-sur-Huveaune;7.9
13071;Les Pennes-Mirabeau;9.8
13074;Peyrolles-en-Provence;6.4
13075;Plan-de-Cuques;11
13077;Port-de-Bouc;8.1
13078;Port-Saint-Louis-du-Rhône;5.8
13081;Rognac;7.6
13084;La Roque-d'Anthéron;13
13086;Roquevaire;10.5
13087;Rousset;8.7
13091;Saint-Cannat;7.8
13092;Saint-Chamas;12.1
13097;Saint-Martin-de-Crau;10.9
13098;Saint-Mitre-les-Remparts;11.1
13100;Saint-Rémy-de-Provence;15
13102;Saint-Victoret;10.7
13103;Salon-de-Provence;10.3
13104;Sausset-les-Pins;12.9
13105;Sénas;8.4
13106;Septèmes-les-Vallons;11.6
13110;Trets;10.8
13112;Velaux;12.5
13113;Venelles;10.7
13117;Vitrolles;14.6
13119;Carnoux-en-Provence;11.8
13201;Marseille 1er Arrondissement;N/A
13202;Marseille 2e Arrondissement;N/A
13203;Marseille 3e Arrondissement;N/A
13204;Marseille 4e Arrondissement;N/A
13205;Marseille 5e Arrondissement;N/A
13206;Marseille 6e Arrondissement;N/A
13207;Marseille 7e Arrondissement;N/A
13208;Marseille 8e Arrondissement;N/A
13209;Marseille 9e Arrondissement;N/A
13210;Marseille 10e Arrondissement;N/A
13211;Marseille 11e Arrondissement;N/A
13212;Marseille 12e Arrondissement;N/A
13213;Marseille 13e Arrondissement;N/A
13214;Marseille 14e Arrondissement;N/A
13215;Marseille 15e Arrondissement;N/A
13216;Marseille 16e Arrondissement;N/A
14020;Argences;7.5
14027;Les Monts d'Aunay;6.2
14047;Bayeux;7.5
14101;Bretteville-sur-Odon;9
14117;Cabourg;8.1
14118;Caen;10.3
14167;Colombelles;8.2
14174;Condé-en-Normandie;5.8
14191;Courseulles-sur-Mer;8.4
14220;Deauville;7.8
14225;Dives-sur-Mer;9.4
14228;Douvres-la-Délivrande;8.7
14258;Falaise;7.1
14327;Hérouville-Saint-Clair;10
14333;Honfleur;9.7
14341;Ifs;8.9
14342;Isigny-sur-Mer;8.1
14366;Lisieux;5.5
14370;Le Molay-Littry;5.6
14371;Livarot-Pays-d'Auge;8.5
14431;Mézidon Vallée d'Auge;5.3
14437;Mondeville;8.7
14478;Orbec;5.8
14488;Ouistreham;9.1
14514;Pont-l'Évêque;7.5
14654;Saint-Pierre-en-Auge;6.7
14689;Le Hom;7.3
14712;Saline;6.4
14715;Trouville-sur-Mer;12
14738;Verson;7
14752;Villers-Bocage;7.9
14754;Villers-sur-Mer;6.4
14762;Vire Normandie;7.6
15014;Aurillac;11
15119;Massiac;9
15120;Mauriac;12
15122;Maurs;4.8
15138;Murat;10.6
15162;Riom-ès-Montagnes;7.9
15187;Saint-Flour;8.9
16015;Angoulême;12.4
