CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2010
01004;Ambérieu-en-Bugey;8.9
01033;Bellegarde-sur-Valserine;7.5
01034;Belley;10.5
01043;Beynost;8.1
01053;Bourg-en-Bresse;12.1
01093;Châtillon-sur-Chalaronne;6.9
01134;Crottet;5.9
01143;Divonne-les-Bains;12.9
01160;Ferney-Voltaire;11.7
01173;Gex;5.8
01185;Hauteville-Lompnes;6.7
01194;Jassans-Riottier;7.4
01202;Lagnieu;5.5
01244;Meximieux;7.6
01249;Miribel;6.6
01262;Montluel;5.8
01266;Montrevel-en-Bresse;8.3
01269;Nantua;6.9
01283;Oyonnax;6.9
01289;Péronnas;6.9
01305;Pont-de-Vaux;8.7
01333;Saint-André-de-Corcy;7.2
01344;Saint-Denis-lès-Bourg;7.7
01348;Saint-Didier-sur-Chalaronne;4.4
01354;Saint-Genis-Pouilly;3.5
01419;Thoiry;5
01427;Trévoux;8.2
01443;Villars-les-Dombes;8.2
01451;Viriat;5.6
01457;Vonnas;4.9
02018;Anizy-le-Château;6.2
02095;Bohain-en-Vermandois;7.7
02141;La Capelle;8.5
02163;Charly-sur-Marne;6.2
02168;Château-Thierry;8.2
02173;Chauny;7.3
02305;Fère-en-Tardenois;5
02340;Gauchy;6.2
02361;Guise;8.7
02381;Hirson;8.2
02408;Laon;8.8
02468;Marle;6.6
02558;Le Nouvion-en-Thiérache;6.5
02691;Saint-Quentin;11.2
02722;Soissons;9.8
02738;Tergnier;7.1
02789;Vervins;5.3
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;7
03023;Bellerive-sur-Allier;6.6
03036;Bourbon-l'Archambault;6.6
03082;Commentry;9.4
03084;Cosne-d'Allier;9.2
03095;Cusset;7.8
03101;Domérat;6.6
03102;Dompierre-sur-Besbre;9.3
03118;Gannat;9.2
03138;Lapalisse;9.5
03165;Le Mayet-de-Montagne;9.1
03185;Montluçon;13.2
03186;Montmarault;7.9
03190;Moulins;10.8
03236;Saint-Germain-des-Fossés;6.7
03254;Saint-Pourçain-sur-Sioule;6.5
03298;Varennes-sur-Allier;4.5
03310;Vichy;14.4
03321;Yzeure;6.4
04019;Barcelonnette;13.6
04039;Castellane;13.6
04049;Château-Arnoux-Saint-Auban;10.6
04070;Digne-les-Bains;11.3
04088;Forcalquier;13.9
04094;Gréoux-les-Bains;22.7
04112;Manosque;13.9
04143;Oraison;11.9
04166;Riez;10
04173;Saint-André-les-Alpes;11.6
04209;Sisteron;8.6
05006;L'Argentière-la-Bessée;13.7
05023;Briançon;12
05046;Embrun;11.9
05061;Gap;13.5
05065;Guillestre;11.3
05070;Laragne-Montéglin;7.9
05132;Saint-Bonnet-en-Champsaur;14.7
05179;Veynes;11.9
06004;Antibes;13.2
06011;Beaulieu-sur-Mer;15.4
06012;Beausoleil;13.9
06018;Biot;8.7
06027;Cagnes-sur-Mer;12.9
06029;Cannes;15.4
06030;Le Cannet;16.4
06033;Carros;8.1
06044;La Colle-sur-Loup;9.9
06048;Contes;8.8
06065;La Gaude;3
06069;Grasse;10
06079;Mandelieu-la-Napoule;16.9
06083;Menton;13.4
06084;Mouans-Sartoux;12.6
06085;Mougins;10.2
06088;Nice;14.3
06090;Pégomas;8.9
06095;Peymeinade;11.8
06099;Puget-Théniers;11.6
06104;Roquebrune-Cap-Martin;8.1
06105;Roquefort-les-Pins;10.3
06123;Saint-Laurent-du-Var;12.9
06130;Saint-Vallier-de-Thiey;6.7
06149;La Trinité;10.2
06152;Valbonne;16
06155;Vallauris;9.3
06157;Vence;11.1
06159;Villefranche-sur-Mer;14.4
06161;Villeneuve-Loubet;9
06163;Tende;6
07010;Annonay;8.3
07019;Aubenas;9
07042;Bourg-Saint-Andéol;9.4
07064;Le Cheylard;9.6
07102;Guilherand-Granges;16.7
07110;Joyeuse;9.9
07129;Lamastre;7.7
07132;Largentière;7.2
07186;Privas;8.9
07201;Ruoms;12.1
07204;Saint-Agrève;10.8
07281;Saint-Péray;9.9
07319;Le Teil;10.2
07324;Tournon-sur-Rhône;7.8
07330;Vallon-Pont-d'Arc;9.7
07331;Vals-les-Bains;11.2
07334;Les Vans;7.8
07338;Vernoux-en-Vivarais;12.6
07349;La Voulte-sur-Rhône;10.9
08090;Carignan;9.3
08105;Charleville-Mézières;9.9
08185;Fumay;7.4
08190;Givet;8.9
08302;Monthermé;8.5
08328;Nouzonville;9.4
08362;Rethel;8.8
08363;Revin;6.9
08367;Rocroi;6.4
08409;Sedan;8.4
08490;Vouziers;11
08491;Vrigne aux Bois;9.9
09032;Ax-les-Thermes;N/A
09122;Foix;N/A
09160;Lavelanet;N/A
09167;Lézat-sur-Lèze;N/A
09185;Mazères;N/A
09194;Mirepoix;N/A
09225;Pamiers;N/A
09261;Saint-Girons;N/A
09282;Saverdun;N/A
09306;Tarascon-sur-Ariège;N/A
10003;Aix-Villemaur-Pâlis;7.1
10006;Arcis-sur-Aube;8.2
10033;Bar-sur-Aube;6.5
10034;Bar-sur-Seine;7.7
10064;Brienne-le-Château;5.9
10081;La Chapelle-Saint-Luc;6.1
10268;Nogent-sur-Seine;5.3
10323;Romilly-sur-Seine;6.5
10333;Saint-André-les-Vergers;6.4
10343;Saint-Julien-les-Villas;5.9
10362;Sainte-Savine;8.2
10387;Troyes;10.8
11049;Bram;N/A
11069;Carcassonne;N/A
11076;Castelnaudary;N/A
11106;Coursan;N/A
11129;Espéraza;N/A
11202;Leucate;N/A
11203;Lézignan-Corbières;N/A
11206;Limoux;N/A
11262;Narbonne;N/A
11266;Port-la-Nouvelle;N/A
11304;Quillan;N/A
11315;Rieux-Minervois;N/A
11379;Sigean;N/A
11397;Trèbes;N/A
12033;Bozouls;N/A
12056;Baraqueville;N/A
12089;Decazeville;0
12094;Entraygues-sur-Truyère;N/A
12096;Espalion;N/A
12119;Laguiole;15.3
12120;Laissac-Sévérac l'Église;N/A
12133;Luc-la-Primaube;N/A
12138;Marcillac-Vallon;N/A
12145;Millau;N/A
12148;Montbazens;N/A
12164;Mur-de-Barrez;0
12169;Naucelle;N/A
12176;Onet-le-Château;N/A
12185;Pont-de-Salars;N/A
12197;Réquista;N/A
12198;Rieupeyroux;N/A
12199;Rignac;N/A
12202;Rodez;N/A
12208;Saint-Affrique;N/A
12224;Saint Geniez d'Olt et d'Aubrac;N/A
12270;Sévérac d'Aveyron;N/A
12300;Villefranche-de-Rouergue;N/A
13001;Aix-en-Provence;15.8
13002;Allauch;10.7
13004;Arles;13.7
13005;Aubagne;15.8
13007;Auriol;5.8
13014;Berre-l'Étang;6.5
13015;Bouc-Bel-Air;11.5
13019;Cabriès;13.4
13022;Cassis;14.1
13026;Châteauneuf-les-Martigues;8.6
13027;Châteaurenard;10.5
13028;La Ciotat;12.4
13031;La Destrousse;15.9
13032;Éguilles;11.3
13035;Eyguières;10.2
13037;La Fare-les-Oliviers;12.3
13039;Fos-sur-Mer;8.4
13040;Fuveau;9.5
13041;Gardanne;12.3
13042;Gémenos;9.3
13043;Gignac-la-Nerthe;12.4
13046;Gréasque;9.1
13047;Istres;11.5
13050;Lambesc;12.6
13051;Lançon-Provence;8.7
13053;Mallemort;11.3
13054;Marignane;14.7
13056;Martigues;11.4
13063;Miramas;7
13069;Pélissanne;6.7
13070;La Penne-sur-Huveaune;9.5
13071;Les Pennes-Mirabeau;9.9
13074;Peyrolles-en-Provence;7.5
13075;Plan-de-Cuques;11.7
13077;Port-de-Bouc;8.1
13078;Port-Saint-Louis-du-Rhône;4.7
13081;Rognac;6.6
13084;La Roque-d'Anthéron;12
13086;Roquevaire;13.1
13087;Rousset;9.9
