CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2011
01004;Ambérieu-en-Bugey;9.4
01033;Bellegarde-sur-Valserine;7.6
01034;Belley;10.4
01043;Beynost;8.1
01053;Bourg-en-Bresse;12.2
01093;Châtillon-sur-Chalaronne;6.8
01134;Crottet;5.8
01143;Divonne-les-Bains;13.9
01160;Ferney-Voltaire;10.6
01173;Gex;5.2
01185;Hauteville-Lompnes;6.7
01194;Jassans-Riottier;7.3
01202;Lagnieu;6.1
01244;Meximieux;6.7
01249;Miribel;6.5
01262;Montluel;5.7
01266;Montrevel-en-Bresse;8.1
01269;Nantua;7.5
01283;Oyonnax;7.2
01289;Péronnas;6.3
01305;Pont-de-Vaux;8.1
01333;Saint-André-de-Corcy;8.7
01344;Saint-Denis-lès-Bourg;7.6
01348;Saint-Didier-sur-Chalaronne;4.3
01354;Saint-Genis-Pouilly;4.3
01419;Thoiry;4.8
01427;Trévoux;8.1
01443;Villars-les-Dombes;8.1
01451;Viriat;5.4
01457;Vonnas;3.9
02018;Anizy-le-Château;6.1
02095;Bohain-en-Vermandois;7.3
02141;La Capelle;8.5
02163;Charly-sur-Marne;6.1
02168;Château-Thierry;7.4
02173;Chauny;7.3
02305;Fère-en-Tardenois;5.7
02340;Gauchy;6.2
02361;Guise;5.8
02381;Hirson;7.6
02408;Laon;8.7
02468;Marle;6.6
02558;Le Nouvion-en-Thiérache;7.4
02691;Saint-Quentin;10.7
02722;Soissons;9.9
02738;Tergnier;7.1
02789;Vervins;5.3
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;6.9
03023;Bellerive-sur-Allier;6.9
03036;Bourbon-l'Archambault;6.6
03082;Commentry;9.4
03084;Cosne-d'Allier;9.2
03095;Cusset;7.3
03101;Domérat;6.2
03102;Dompierre-sur-Besbre;9.3
03118;Gannat;9.1
03138;Lapalisse;10.2
03165;Le Mayet-de-Montagne;9.1
03185;Montluçon;12.7
03186;Montmarault;7.9
03190;Moulins;11
03236;Saint-Germain-des-Fossés;8.4
03254;Saint-Pourçain-sur-Sioule;7.1
03298;Varennes-sur-Allier;5.6
03310;Vichy;14.1
03321;Yzeure;5.7
04019;Barcelonnette;14.8
04039;Castellane;13.7
04049;Château-Arnoux-Saint-Auban;10.4
04070;Digne-les-Bains;10.5
04088;Forcalquier;11.9
04094;Gréoux-les-Bains;22
04112;Manosque;13.8
04143;Oraison;11.7
04166;Riez;9.8
04173;Saint-André-les-Alpes;11.6
04209;Sisteron;8.5
05006;L'Argentière-la-Bessée;9.1
05023;Briançon;12
05046;Embrun;12
05061;Gap;13.5
05065;Guillestre;9.9
05070;Laragne-Montéglin;4.8
05132;Saint-Bonnet-en-Champsaur;13.7
05179;Veynes;11.8
06004;Antibes;13.2
06011;Beaulieu-sur-Mer;15.6
06012;Beausoleil;15.1
06018;Biot;11
06027;Cagnes-sur-Mer;13.5
06029;Cannes;15.4
06030;Le Cannet;15.1
06033;Carros;7.7
06044;La Colle-sur-Loup;9.9
06048;Contes;8.4
06065;La Gaude;3
06069;Grasse;9.7
06079;Mandelieu-la-Napoule;17.7
06083;Menton;12.6
06084;Mouans-Sartoux;12.7
06085;Mougins;10.2
06088;Nice;14.3
06090;Pégomas;7.5
06095;Peymeinade;12.5
06099;Puget-Théniers;11.4
06104;Roquebrune-Cap-Martin;7.6
06105;Roquefort-les-Pins;10.9
06123;Saint-Laurent-du-Var;13.7
06130;Saint-Vallier-de-Thiey;6.5
06149;La Trinité;10.3
06152;Valbonne;16.6
06155;Vallauris;9.3
06157;Vence;11.5
06159;Villefranche-sur-Mer;15.4
06161;Villeneuve-Loubet;8
06163;Tende;5.9
07010;Annonay;7.9
07019;Aubenas;8.3
07042;Bourg-Saint-Andéol;10.2
07064;Le Cheylard;9.7
07102;Guilherand-Granges;16.5
07110;Joyeuse;8.1
07129;Lamastre;7.7
07132;Largentière;7.1
07186;Privas;8.8
07201;Ruoms;5.1
07204;Saint-Agrève;10.8
07281;Saint-Péray;9.9
07319;Le Teil;10.2
07324;Tournon-sur-Rhône;7.5
07330;Vallon-Pont-d'Arc;9.7
07331;Vals-les-Bains;10.6
07334;Les Vans;10.3
07338;Vernoux-en-Vivarais;12.6
07349;La Voulte-sur-Rhône;10.8
08090;Carignan;9.3
08105;Charleville-Mézières;10
08185;Fumay;7.4
08190;Givet;8.2
