CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2017
01004;Ambérieu-en-Bugey;9.6
01033;Bellegarde-sur-Valserine;6.1
01034;Belley;10.5
01043;Beynost;7.6
01053;Bourg-en-Bresse;11.8
01093;Châtillon-sur-Chalaronne;7.5
01134;Crottet;5.6
01143;Divonne-les-Bains;9.9
01160;Ferney-Voltaire;6.9
01173;Gex;5.6
01185;Hauteville-Lompnes;4
01194;Jassans-Riottier;7.5
01202;Lagnieu;6.3
01244;Meximieux;5.9
01249;Miribel;5.3
01262;Montluel;4.7
01266;Montrevel-en-Bresse;6.1
01269;Nantua;6.3
01283;Oyonnax;6.4
01289;Péronnas;6
01305;Pont-de-Vaux;8
01333;Saint-André-de-Corcy;9.7
01344;Saint-Denis-lès-Bourg;8
01348;Saint-Didier-sur-Chalaronne;3
01354;Saint-Genis-Pouilly;4.1
01419;Thoiry;3.4
01427;Trévoux;8
01443;Villars-les-Dombes;8.6
01451;Viriat;5.2
01457;Vonnas;4.5
02018;Anizy-le-Château;4.8
02095;Bohain-en-Vermandois;6.1
02141;La Capelle;8.6
02163;Charly-sur-Marne;3.5
02168;Château-Thierry;7
02173;Chauny;6.7
02305;Fère-en-Tardenois;5
02340;Gauchy;4.9
02361;Guise;5.2
02381;Hirson;7.8
02408;Laon;7.2
02468;Marle;5.6
02558;Le Nouvion-en-Thiérache;7.3
02691;Saint-Quentin;10.7
02722;Soissons;8.2
02738;Tergnier;6.4
02789;Vervins;5.5
02795;Vic-sur-Aisne;4.9
02810;Villers-Cotterêts;5.8
03023;Bellerive-sur-Allier;5.9
03036;Bourbon-l'Archambault;11.6
03082;Commentry;9.1
03084;Cosne-d'Allier;7
03095;Cusset;6.3
03101;Domérat;5.7
03102;Dompierre-sur-Besbre;7.9
03118;Gannat;7.9
03138;Lapalisse;8.8
03165;Le Mayet-de-Montagne;7.9
03185;Montluçon;11.3
03186;Montmarault;8
03190;Moulins;10
03236;Saint-Germain-des-Fossés;6.7
03254;Saint-Pourçain-sur-Sioule;7.1
03298;Varennes-sur-Allier;2.3
03310;Vichy;13.3
03321;Yzeure;6
04019;Barcelonnette;14.1
04039;Castellane;9.9
04049;Château-Arnoux-Saint-Auban;9.7
04070;Digne-les-Bains;11.6
04088;Forcalquier;12.8
04094;Gréoux-les-Bains;31.7
04112;Manosque;13.1
04143;Oraison;8.8
04166;Riez;9.4
04173;Saint-André-les-Alpes;11.1
04209;Sisteron;7
05006;L'Argentière-la-Bessée;7.5
05023;Briançon;9.4
05046;Embrun;11.7
05061;Gap;12.8
05065;Guillestre;12.6
05070;Laragne-Montéglin;5.8
05132;Saint-Bonnet-en-Champsaur;17.4
05179;Veynes;13.2
06004;Antibes;11.9
06011;Beaulieu-sur-Mer;14.9
06012;Beausoleil;15.1
06018;Biot;10.1
06027;Cagnes-sur-Mer;12.4
06029;Cannes;14
06030;Le Cannet;12.7
06033;Carros;8.3
06044;La Colle-sur-Loup;8.8
06048;Contes;8.1
06065;La Gaude;3.1
06069;Grasse;9.2
06079;Mandelieu-la-Napoule;11.6
06083;Menton;12.1
06084;Mouans-Sartoux;14.7
06085;Mougins;11.4
06088;Nice;13.7
06090;Pégomas;5.5
06095;Peymeinade;10
06099;Puget-Théniers;8.9
06104;Roquebrune-Cap-Martin;8.5
06105;Roquefort-les-Pins;8.9
06123;Saint-Laurent-du-Var;15.6
06130;Saint-Vallier-de-Thiey;5.1
06149;La Trinité;8
06152;Valbonne;19
06155;Vallauris;7.3
06157;Vence;12.9
06159;Villefranche-sur-Mer;15.6
06161;Villeneuve-Loubet;6.3
06163;Tende;0
07010;Annonay;8.3
07019;Aubenas;8.8
07042;Bourg-Saint-Andéol;10
07064;Le Cheylard;8.5
07102;Guilherand-Granges;19.3
07110;Joyeuse;10.5
07129;Lamastre;5.9
07132;Largentière;6.9
07186;Privas;7.8
07201;Ruoms;9.6
07204;Saint-Agrève;10.9
07281;Saint-Péray;11.2
07319;Le Teil;8.6
07324;Tournon-sur-Rhône;7.9
07330;Vallon-Pont-d'Arc;9.7
07331;Vals-les-Bains;11.5
07334;Les Vans;9.1
07338;Vernoux-en-Vivarais;10
07349;La Voulte-sur-Rhône;9.2
08090;Carignan;7.2
08105;Charleville-Mézières;8.9
08185;Fumay;8.1
08190;Givet;8.3
08302;Monthermé;5.2
08328;Nouzonville;7.4
08362;Rethel;6.9
08363;Revin;5.2
08367;Rocroi;8.3
08409;Sedan;8.2
08490;Vouziers;10.9
08491;Vrigne aux Bois;10.8
09032;Ax-les-Thermes;12.7
09122;Foix;10.9
09160;Lavelanet;9.1
09167;Lézat-sur-Lèze;12.8
09185;Mazères;13.4
09194;Mirepoix;5.3
09225;Pamiers;11.1
09261;Saint-Girons;8.4
09282;Saverdun;6.4
09306;Tarascon-sur-Ariège;9.6
10003;Aix-Villemaur-Pâlis;5.8
10006;Arcis-sur-Aube;4.1
10033;Bar-sur-Aube;7
10034;Bar-sur-Seine;5.3
10064;Brienne-le-Château;6
10081;La Chapelle-Saint-Luc;6.7
10268;Nogent-sur-Seine;5.2
10323;Romilly-sur-Seine;5.4
10333;Saint-André-les-Vergers;6.2
10343;Saint-Julien-les-Villas;5.1
10362;Sainte-Savine;7.3
10387;Troyes;9.9
11049;Bram;11.2
11069;Carcassonne;9.2
11076;Castelnaudary;6.6
11106;Coursan;9.9
11129;Espéraza;11.6
11202;Leucate;7.6
