CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2014
01004;Ambérieu-en-Bugey;9.9
01033;Bellegarde-sur-Valserine;7.1
01034;Belley;9.4
01043;Beynost;7.2
01053;Bourg-en-Bresse;11.1
01093;Châtillon-sur-Chalaronne;6.8
01134;Crottet;5.6
01143;Divonne-les-Bains;9.6
01160;Ferney-Voltaire;7.4
01173;Gex;5.7
01185;Hauteville-Lompnes;5.9
01194;Jassans-Riottier;7.1
01202;Lagnieu;5.3
01244;Meximieux;7.3
01249;Miribel;6.5
01262;Montluel;4.8
01266;Montrevel-en-Bresse;6.8
01269;Nantua;7.6
01283;Oyonnax;6.4
01289;Péronnas;6.7
01305;Pont-de-Vaux;9.6
01333;Saint-André-de-Corcy;10.1
01344;Saint-Denis-lès-Bourg;8.2
01348;Saint-Didier-sur-Chalaronne;4.1
01354;Saint-Genis-Pouilly;5.5
01419;Thoiry;2.9
01427;Trévoux;8.3
01443;Villars-les-Dombes;7.8
01451;Viriat;6
01457;Vonnas;3.7
02018;Anizy-le-Château;6
02095;Bohain-en-Vermandois;6.9
02141;La Capelle;6.8
02163;Charly-sur-Marne;5.2
02168;Château-Thierry;7.1
02173;Chauny;7.3
02305;Fère-en-Tardenois;5.8
02340;Gauchy;5.4
02361;Guise;7.3
02381;Hirson;7.6
02408;Laon;7.2
02468;Marle;6.6
02558;Le Nouvion-en-Thiérache;5.5
02691;Saint-Quentin;11.1
02722;Soissons;9.3
02738;Tergnier;6.3
02789;Vervins;5.3
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;6.5
03023;Bellerive-sur-Allier;5.9
03036;Bourbon-l'Archambault;11.7
03082;Commentry;8.4
03084;Cosne-d'Allier;6.9
03095;Cusset;8.5
03101;Domérat;6.1
03102;Dompierre-sur-Besbre;8.6
03118;Gannat;8
03138;Lapalisse;11.1
03165;Le Mayet-de-Montagne;7.6
03185;Montluçon;12.3
03186;Montmarault;6.3
03190;Moulins;11.2
03236;Saint-Germain-des-Fossés;8.4
03254;Saint-Pourçain-sur-Sioule;6.5
03298;Varennes-sur-Allier;3.4
03310;Vichy;13.6
03321;Yzeure;6.1
04019;Barcelonnette;13.8
04039;Castellane;10
04049;Château-Arnoux-Saint-Auban;9.8
04070;Digne-les-Bains;11.3
04088;Forcalquier;11.8
04094;Gréoux-les-Bains;27.6
04112;Manosque;13.7
04143;Oraison;10.2
04166;Riez;9.4
04173;Saint-André-les-Alpes;11.6
04209;Sisteron;8.9
05006;L'Argentière-la-Bessée;10.6
05023;Briançon;10.5
05046;Embrun;10.4
05061;Gap;13.3
05065;Guillestre;10.9
05070;Laragne-Montéglin;5.8
05132;Saint-Bonnet-en-Champsaur;13.4
05179;Veynes;11.7
06004;Antibes;13.1
06011;Beaulieu-sur-Mer;15.9
06012;Beausoleil;15.2
06018;Biot;8
06027;Cagnes-sur-Mer;13.9
06029;Cannes;14.5
06030;Le Cannet;13.9
06033;Carros;7.6
06044;La Colle-sur-Loup;8.9
06048;Contes;8.8
06065;La Gaude;3
06069;Grasse;9.7
06079;Mandelieu-la-Napoule;11.5
06083;Menton;12.7
06084;Mouans-Sartoux;13.7
06085;Mougins;12.3
06088;Nice;14.1
06090;Pégomas;6.5
06095;Peymeinade;11.6
06099;Puget-Théniers;11.1
06104;Roquebrune-Cap-Martin;8.6
06105;Roquefort-les-Pins;9.8
06123;Saint-Laurent-du-Var;13.6
06130;Saint-Vallier-de-Thiey;5.2
06149;La Trinité;8.7
06152;Valbonne;15.8
06155;Vallauris;8.3
06157;Vence;10.6
06159;Villefranche-sur-Mer;16.5
06161;Villeneuve-Loubet;6.8
06163;Tende;2.8
07010;Annonay;7.9
07019;Aubenas;9.9
07042;Bourg-Saint-Andéol;10.9
07064;Le Cheylard;9.1
07102;Guilherand-Granges;21
07110;Joyeuse;9.3
07129;Lamastre;8.7
07132;Largentière;7
07186;Privas;8.7
07201;Ruoms;9.9
07204;Saint-Agrève;10.6
07281;Saint-Péray;8.2
07319;Le Teil;7.7
07324;Tournon-sur-Rhône;7.8
07330;Vallon-Pont-d'Arc;11.1
07331;Vals-les-Bains;11.1
07334;Les Vans;8.2
07338;Vernoux-en-Vivarais;10.4
07349;La Voulte-sur-Rhône;9.4
08090;Carignan;6.5
08105;Charleville-Mézières;9.2
08185;Fumay;7.6
08190;Givet;6.9
08302;Monthermé;5.2
08328;Nouzonville;8.8
08362;Rethel;7.2
08363;Revin;4.9
08367;Rocroi;6.2
08409;Sedan;7.4
08490;Vouziers;10.1
08491;Vrigne aux Bois;9.1
09032;Ax-les-Thermes;16.9
09122;Foix;11.8
09160;Lavelanet;9.3
