CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2015
01004;Ambérieu-en-Bugey;10
01033;Bellegarde-sur-Valserine;6.3
01034;Belley;10
01043;Beynost;7.2
01053;Bourg-en-Bresse;10.1
01093;Châtillon-sur-Chalaronne;6.8
01134;Crottet;5.6
01143;Divonne-les-Bains;10.5
01160;Ferney-Voltaire;6.6
01173;Gex;6.4
01185;Hauteville-Lompnes;3.9
01194;Jassans-Riottier;7.6
01202;Lagnieu;5.2
01244;Meximieux;6.8
01249;Miribel;6.4
01262;Montluel;4.8
01266;Montrevel-en-Bresse;6.6
01269;Nantua;6.3
01283;Oyonnax;6.6
01289;Péronnas;6.7
01305;Pont-de-Vaux;9.9
01333;Saint-André-de-Corcy;9.9
01344;Saint-Denis-lès-Bourg;8.1
01348;Saint-Didier-sur-Chalaronne;4.1
01354;Saint-Genis-Pouilly;4.6
01419;Thoiry;3.5
01427;Trévoux;8.7
01443;Villars-les-Dombes;8.8
01451;Viriat;5.9
01457;Vonnas;3.7
02018;Anizy-le-Château;7.2
02095;Bohain-en-Vermandois;6.5
02141;La Capelle;6.8
02163;Charly-sur-Marne;4.3
02168;Château-Thierry;6.8
02173;Chauny;7.3
02305;Fère-en-Tardenois;5
02340;Gauchy;5.4
02361;Guise;5.9
02381;Hirson;8.2
02408;Laon;7
02468;Marle;6.7
02558;Le Nouvion-en-Thiérache;7.3
02691;Saint-Quentin;10.9
02722;Soissons;9
02738;Tergnier;5.9
02789;Vervins;5.4
02795;Vic-sur-Aisne;4.9
02810;Villers-Cotterêts;5.4
03023;Bellerive-sur-Allier;5.9
03036;Bourbon-l'Archambault;13.3
03082;Commentry;9.5
03084;Cosne-d'Allier;6.9
03095;Cusset;6.6
03101;Domérat;6
03102;Dompierre-sur-Besbre;8.6
03118;Gannat;8.9
03138;Lapalisse;9.5
03165;Le Mayet-de-Montagne;6.2
03185;Montluçon;12.2
03186;Montmarault;7.9
03190;Moulins;10.8
03236;Saint-Germain-des-Fossés;6.7
03254;Saint-Pourçain-sur-Sioule;6.5
03298;Varennes-sur-Allier;3.4
03310;Vichy;13.6
03321;Yzeure;6.6
04019;Barcelonnette;13.8
04039;Castellane;10
04049;Château-Arnoux-Saint-Auban;9.1
04070;Digne-les-Bains;11.1
04088;Forcalquier;13
04094;Gréoux-les-Bains;30.3
04112;Manosque;14.1
04143;Oraison;10
04166;Riez;10.4
04173;Saint-André-les-Alpes;13.4
04209;Sisteron;8.3
05006;L'Argentière-la-Bessée;9
05023;Briançon;10
05046;Embrun;10.4
05061;Gap;12.6
05065;Guillestre;11
05070;Laragne-Montéglin;6.8
