CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2009
01004;Ambérieu-en-Bugey;9.2
01033;Bellegarde-sur-Valserine;8
01034;Belley;11
01043;Beynost;8.2
01053;Bourg-en-Bresse;12.3
01093;Châtillon-sur-Chalaronne;6.9
01134;Crottet;6
01143;Divonne-les-Bains;13.3
01160;Ferney-Voltaire;12
01173;Gex;5.4
01185;Hauteville-Lompnes;6.8
01194;Jassans-Riottier;7.5
01202;Lagnieu;5.5
01244;Meximieux;7.7
01249;Miribel;6.6
01262;Montluel;5.9
01266;Montrevel-en-Bresse;8
01269;Nantua;6.9
01283;Oyonnax;6.9
01289;Péronnas;6.9
01305;Pont-de-Vaux;9.4
01333;Saint-André-de-Corcy;8.7
01344;Saint-Denis-lès-Bourg;7.9
01348;Saint-Didier-sur-Chalaronne;4.5
01354;Saint-Genis-Pouilly;5.5
01419;Thoiry;5.2
01427;Trévoux;8.2
01443;Villars-les-Dombes;8.3
01451;Viriat;5.6
01457;Vonnas;4.9
02018;Anizy-le-Château;6.3
02095;Bohain-en-Vermandois;8.2
02141;La Capelle;8.5
02163;Charly-sur-Marne;6.2
02168;Château-Thierry;7.7
02173;Chauny;7.2
02305;Fère-en-Tardenois;5
02340;Gauchy;6.2
02361;Guise;8.6
02381;Hirson;8.2
02408;Laon;8.8
02468;Marle;6.7
02558;Le Nouvion-en-Thiérache;6.4
02691;Saint-Quentin;11.4
02722;Soissons;10.1
02738;Tergnier;7
02789;Vervins;5.3
02795;Vic-sur-Aisne;6.1
02810;Villers-Cotterêts;7
03023;Bellerive-sur-Allier;7
03036;Bourbon-l'Archambault;6.6
03082;Commentry;10
03084;Cosne-d'Allier;9.1
03095;Cusset;7.3
03101;Domérat;6.7
03102;Dompierre-sur-Besbre;9.3
03118;Gannat;9.3
03138;Lapalisse;8.7
03165;Le Mayet-de-Montagne;10.6
03185;Montluçon;12.8
03186;Montmarault;7.9
03190;Moulins;10.6
03236;Saint-Germain-des-Fossés;8.4
03254;Saint-Pourçain-sur-Sioule;6.5
03298;Varennes-sur-Allier;4.5
03310;Vichy;14.9
03321;Yzeure;5.3
04019;Barcelonnette;13.6
04039;Castellane;13.5
04049;Château-Arnoux-Saint-Auban;11.4
04070;Digne-les-Bains;10.1
04088;Forcalquier;14.7
04094;Gréoux-les-Bains;23.5
04112;Manosque;14.1
04143;Oraison;11.2
04166;Riez;10.3
04173;Saint-André-les-Alpes;11.7
04209;Sisteron;8
05006;L'Argentière-la-Bessée;10.8
05023;Briançon;12.6
05046;Embrun;11.9
05061;Gap;13.9
05065;Guillestre;13.9
05070;Laragne-Montéglin;8
05132;Saint-Bonnet-en-Champsaur;15.7
05179;Veynes;11.2
06004;Antibes;14.1
06011;Beaulieu-sur-Mer;15.4
06012;Beausoleil;14.4
06018;Biot;7.8
06027;Cagnes-sur-Mer;11.9
06029;Cannes;15.7
06030;Le Cannet;15.2
06033;Carros;7.8
06044;La Colle-sur-Loup;11
06048;Contes;8.6
06065;La Gaude;3
06069;Grasse;10.4
06079;Mandelieu-la-Napoule;16.5
06083;Menton;13.5
06084;Mouans-Sartoux;12.6
06085;Mougins;10.5
06088;Nice;14.2
06090;Pégomas;9.1
06095;Peymeinade;11.1
06099;Puget-Théniers;11.7
06104;Roquebrune-Cap-Martin;8.3
06105;Roquefort-les-Pins;10.4
06123;Saint-Laurent-du-Var;12.5
06130;Saint-Vallier-de-Thiey;6.8
06149;La Trinité;9.2
06152;Valbonne;16.8
06155;Vallauris;8.8
06157;Vence;11
06159;Villefranche-sur-Mer;13.5
06161;Villeneuve-Loubet;8.6
06163;Tende;5.9
07010;Annonay;8.6
07019;Aubenas;9
07042;Bourg-Saint-Andéol;9.4
07064;Le Cheylard;9.6
07102;Guilherand-Granges;16.6
07110;Joyeuse;8.4
07129;Lamastre;8.7
07132;Largentière;8.3
07186;Privas;8.9
07201;Ruoms;10.6
07204;Saint-Agrève;13.2
07281;Saint-Péray;9.9
07319;Le Teil;9.2
07324;Tournon-sur-Rhône;8.2
07330;Vallon-Pont-d'Arc;8.2
07331;Vals-les-Bains;11.8
07334;Les Vans;6.6
07338;Vernoux-en-Vivarais;12.8
07349;La Voulte-sur-Rhône;11
08090;Carignan;10
08105;Charleville-Mézières;10.2
08185;Fumay;8.7
08190;Givet;8.8
08302;Monthermé;8.4
08328;Nouzonville;10.1
08362;Rethel;8.4
08363;Revin;5.7
08367;Rocroi;6.4
08409;Sedan;8.4
08490;Vouziers;10.6
08491;Vrigne aux Bois;9.9
09032;Ax-les-Thermes;N/A
09122;Foix;N/A
09160;Lavelanet;N/A
09167;Lézat-sur-Lèze;N/A
09185;Mazères;N/A
09194;Mirepoix;N/A
09225;Pamiers;N/A
09261;Saint-Girons;N/A
09282;Saverdun;N/A
09306;Tarascon-sur-Ariège;N/A
10003;Aix-Villemaur-Pâlis;7.2
10006;Arcis-sur-Aube;9.1
