CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2016
01004;Ambérieu-en-Bugey;8.6
01033;Bellegarde-sur-Valserine;6.5
01034;Belley;9.9
01043;Beynost;7.1
01053;Bourg-en-Bresse;10.9
01093;Châtillon-sur-Chalaronne;6.7
01134;Crottet;5.6
01143;Divonne-les-Bains;10.1
01160;Ferney-Voltaire;7
01173;Gex;6.6
01185;Hauteville-Lompnes;4
01194;Jassans-Riottier;7.5
01202;Lagnieu;6.5
01244;Meximieux;6.7
01249;Miribel;6.3
01262;Montluel;4.7
01266;Montrevel-en-Bresse;6.5
01269;Nantua;6.3
01283;Oyonnax;6.6
01289;Péronnas;6.6
01305;Pont-de-Vaux;9
01333;Saint-André-de-Corcy;9.8
01344;Saint-Denis-lès-Bourg;8.1
01348;Saint-Didier-sur-Chalaronne;4
01354;Saint-Genis-Pouilly;4.5
01419;Thoiry;3.4
01427;Trévoux;8.1
01443;Villars-les-Dombes;8.7
01451;Viriat;6.6
01457;Vonnas;4.6
02018;Anizy-le-Château;7.2
02095;Bohain-en-Vermandois;6.1
02141;La Capelle;6.8
02163;Charly-sur-Marne;4.3
02168;Château-Thierry;6.7
02173;Chauny;6.3
02305;Fère-en-Tardenois;5
02340;Gauchy;5.4
02361;Guise;5.2
02381;Hirson;7.7
02408;Laon;6.8
02468;Marle;6.7
02558;Le Nouvion-en-Thiérache;7.4
02691;Saint-Quentin;10.5
02722;Soissons;8.7
02738;Tergnier;5.9
02789;Vervins;5.4
02795;Vic-sur-Aisne;4.9
02810;Villers-Cotterêts;6.1
03023;Bellerive-sur-Allier;5.9
03036;Bourbon-l'Archambault;13.3
03082;Commentry;9
03084;Cosne-d'Allier;7
03095;Cusset;6.1
03101;Domérat;5.6
03102;Dompierre-sur-Besbre;8.7
03118;Gannat;8.4
03138;Lapalisse;10.4
03165;Le Mayet-de-Montagne;6.3
03185;Montluçon;11.7
03186;Montmarault;7.9
03190;Moulins;10.2
03236;Saint-Germain-des-Fossés;6.7
03254;Saint-Pourçain-sur-Sioule;6.4
03298;Varennes-sur-Allier;3.4
03310;Vichy;13.2
03321;Yzeure;6
04019;Barcelonnette;13.9
04039;Castellane;6.7
04049;Château-Arnoux-Saint-Auban;9.1
04070;Digne-les-Bains;11.2
