CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2013
01004;Ambérieu-en-Bugey;10.1
01033;Bellegarde-sur-Valserine;7.9
01034;Belley;9.8
01043;Beynost;8
01053;Bourg-en-Bresse;11.5
01093;Châtillon-sur-Chalaronne;7.6
01134;Crottet;5.7
01143;Divonne-les-Bains;10.9
01160;Ferney-Voltaire;7.9
01173;Gex;5.8
01185;Hauteville-Lompnes;5.8
01194;Jassans-Riottier;7.3
01202;Lagnieu;5.4
01244;Meximieux;6.9
01249;Miribel;6.5
01262;Montluel;4.9
01266;Montrevel-en-Bresse;7.3
01269;Nantua;7.5
01283;Oyonnax;6.4
01289;Péronnas;6.7
01305;Pont-de-Vaux;10.1
01333;Saint-André-de-Corcy;10.2
01344;Saint-Denis-lès-Bourg;6.6
01348;Saint-Didier-sur-Chalaronne;4.2
01354;Saint-Genis-Pouilly;4.9
01419;Thoiry;3
01427;Trévoux;9.4
01443;Villars-les-Dombes;7.9
01451;Viriat;6.1
01457;Vonnas;3.8
02018;Anizy-le-Château;6
02095;Bohain-en-Vermandois;6.8
02141;La Capelle;8.5
02163;Charly-sur-Marne;5.2
02168;Château-Thierry;6.6
02173;Chauny;7.3
02305;Fère-en-Tardenois;4.9
02340;Gauchy;5.3
02361;Guise;7.3
02381;Hirson;7.3
02408;Laon;7.3
02468;Marle;6.6
02558;Le Nouvion-en-Thiérache;5.5
02691;Saint-Quentin;10.6
02722;Soissons;9.3
02738;Tergnier;6.3
02789;Vervins;5.3
02795;Vic-sur-Aisne;5
02810;Villers-Cotterêts;6.5
03023;Bellerive-sur-Allier;6.4
03036;Bourbon-l'Archambault;8.3
03082;Commentry;9
03084;Cosne-d'Allier;8
03095;Cusset;8.6
03101;Domérat;6.1
03102;Dompierre-sur-Besbre;10.2
03118;Gannat;9.5
03138;Lapalisse;8.7
03165;Le Mayet-de-Montagne;7.5
03185;Montluçon;12.5
03186;Montmarault;7.9
03190;Moulins;11.2
03236;Saint-Germain-des-Fossés;8.3
03254;Saint-Pourçain-sur-Sioule;7.1
03298;Varennes-sur-Allier;3.4
03310;Vichy;13.7
03321;Yzeure;6.1
04019;Barcelonnette;15
04039;Castellane;13.5
04049;Château-Arnoux-Saint-Auban;9.8
04070;Digne-les-Bains;11
04088;Forcalquier;11.8
04094;Gréoux-les-Bains;24.5
04112;Manosque;13.1
04143;Oraison;11.4
04166;Riez;9.5
04173;Saint-André-les-Alpes;11.6
04209;Sisteron;8.3
05006;L'Argentière-la-Bessée;10.6
05023;Briançon;11.3
05046;Embrun;10.4
05061;Gap;13
05065;Guillestre;9.8
05070;Laragne-Montéglin;5.8
05132;Saint-Bonnet-en-Champsaur;12.7
05179;Veynes;11.7
06004;Antibes;12.6
06011;Beaulieu-sur-Mer;15.6
06012;Beausoleil;14.5
06018;Biot;9.2
06027;Cagnes-sur-Mer;13.7
06029;Cannes;14.9
06030;Le Cannet;12.9
06033;Carros;7.9
06044;La Colle-sur-Loup;8.9
06048;Contes;8.3
06065;La Gaude;2.9
