CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2018
01004;Ambérieu-en-Bugey;9.4
01033;Bellegarde-sur-Valserine;6
01034;Belley;10.5
01043;Beynost;8.2
01053;Bourg-en-Bresse;11.9
01093;Châtillon-sur-Chalaronne;8.2
01134;Crottet;5.5
01143;Divonne-les-Bains;8.8
01160;Ferney-Voltaire;5.9
01173;Gex;6.2
01185;Hauteville-Lompnes;4.1
01194;Jassans-Riottier;7.3
01202;Lagnieu;6.2
01244;Meximieux;6.2
01249;Miribel;5.3
01262;Montluel;4.6
01266;Montrevel-en-Bresse;6.1
01269;Nantua;6.3
01283;Oyonnax;6
01289;Péronnas;6
01305;Pont-de-Vaux;7.6
01333;Saint-André-de-Corcy;10.9
01344;Saint-Denis-lès-Bourg;7.1
01348;Saint-Didier-sur-Chalaronne;3
01354;Saint-Genis-Pouilly;3.8
01419;Thoiry;3.4
01427;Trévoux;7.4
01443;Villars-les-Dombes;9.5
01451;Viriat;5.9
01457;Vonnas;4.5
02018;Anizy-le-Château;4.9
02095;Bohain-en-Vermandois;6.2
02141;La Capelle;6.9
02163;Charly-sur-Marne;3.4
02168;Château-Thierry;6.6
02173;Chauny;6.3
02305;Fère-en-Tardenois;5
02340;Gauchy;4.9
02361;Guise;5.3
02381;Hirson;8.1
02408;Laon;6.9
02468;Marle;5.6
02558;Le Nouvion-en-Thiérache;8.3
02691;Saint-Quentin;10.5
02722;Soissons;7.5
02738;Tergnier;5.7
02789;Vervins;4.6
02795;Vic-sur-Aisne;4
02810;Villers-Cotterêts;5.5
03023;Bellerive-sur-Allier;6.3
03036;Bourbon-l'Archambault;10
03082;Commentry;9.1
03084;Cosne-d'Allier;7.1
03095;Cusset;6.3
03101;Domérat;6.1
03102;Dompierre-sur-Besbre;7.9
03118;Gannat;7.4
03138;Lapalisse;8.9
03165;Le Mayet-de-Montagne;8
03185;Montluçon;11.1
03186;Montmarault;6.4
03190;Moulins;9.5
03236;Saint-Germain-des-Fossés;6.7
03254;Saint-Pourçain-sur-Sioule;7
03298;Varennes-sur-Allier;2.3
03310;Vichy;14.1
03321;Yzeure;5.5
04019;Barcelonnette;14.2
04039;Castellane;9.9
04049;Château-Arnoux-Saint-Auban;9.7
04070;Digne-les-Bains;10.1
04088;Forcalquier;11.5
04094;Gréoux-les-Bains;35
04112;Manosque;13.3
04143;Oraison;6.3
04166;Riez;10.4
04173;Saint-André-les-Alpes;10.9
04209;Sisteron;7.6
05006;L'Argentière-la-Bessée;9
05023;Briançon;10.1
05046;Embrun;12.4
05061;Gap;12
05065;Guillestre;11.3
05070;Laragne-Montéglin;4.8
05132;Saint-Bonnet-en-Champsaur;17.4
05179;Veynes;11.5
06004;Antibes;12.2
06011;Beaulieu-sur-Mer;15
06012;Beausoleil;15.5
06018;Biot;10.2
06027;Cagnes-sur-Mer;12.6
06029;Cannes;13.9
06030;Le Cannet;12.7
06033;Carros;7.7
06044;La Colle-sur-Loup;9.7
06048;Contes;8.3
06065;La Gaude;3.1
06069;Grasse;9.4
06079;Mandelieu-la-Napoule;11.7
06083;Menton;11.2
06084;Mouans-Sartoux;15.5
06085;Mougins;10.5
06088;Nice;13.3
06090;Pégomas;5.5
06095;Peymeinade;9.3
06099;Puget-Théniers;9.7
06104;Roquebrune-Cap-Martin;8.4
06105;Roquefort-les-Pins;10.1
06123;Saint-Laurent-du-Var;15.7
06130;Saint-Vallier-de-Thiey;5
06149;La Trinité;8.1
06152;Valbonne;19.1
06155;Vallauris;6.4
06157;Vence;13.6
06159;Villefranche-sur-Mer;15.7
06161;Villeneuve-Loubet;6.1
06163;Tende;0
07010;Annonay;8.2
07019;Aubenas;8.5
07042;Bourg-Saint-Andéol;10.1
07064;Le Cheylard;8.6
07102;Guilherand-Granges;19.9
07110;Joyeuse;10.4
07129;Lamastre;5.9
07132;Largentière;6
07186;Privas;7.8
07201;Ruoms;11.2
07204;Saint-Agrève;8.4
07281;Saint-Péray;11.1
07319;Le Teil;8.5
07324;Tournon-sur-Rhône;7.9
07330;Vallon-Pont-d'Arc;9.6
07331;Vals-les-Bains;11.5
07334;Les Vans;9
07338;Vernoux-en-Vivarais;10.1
07349;La Voulte-sur-Rhône;8
08090;Carignan;6.6
08105;Charleville-Mézières;8.9
08185;Fumay;8.1
08190;Givet;8.3
08302;Monthermé;5.3
08328;Nouzonville;7.5
08362;Rethel;7.6
08363;Revin;4
08367;Rocroi;8.3
08409;Sedan;8
08490;Vouziers;10.9
08491;Vrigne aux Bois;10.9
09032;Ax-les-Thermes;12.8
09122;Foix;11.4
09160;Lavelanet;8.2
09167;Lézat-sur-Lèze;13.8
09185;Mazères;12.3
09194;Mirepoix;5.3
09225;Pamiers;11
09261;Saint-Girons;7.9
09282;Saverdun;3.2
09306;Tarascon-sur-Ariège;9.8
10003;Aix-Villemaur-Pâlis;5.8
10006;Arcis-sur-Aube;4.9
10033;Bar-sur-Aube;5.8
10034;Bar-sur-Seine;5.8
10064;Brienne-le-Château;6.1
10081;La Chapelle-Saint-Luc;6.6
10268;Nogent-sur-Seine;4.1
10323;Romilly-sur-Seine;5.4
10333;Saint-André-les-Vergers;7.7
10343;Saint-Julien-les-Villas;4.5
10362;Sainte-Savine;6.7
10387;Troyes;10
11049;Bram;10.1
11069;Carcassonne;9.1
11076;Castelnaudary;6.5
11106;Coursan;7.6
11129;Espéraza;14.1
11202;Leucate;7.6
11203;Lézignan-Corbières;7
11206;Limoux;8.3
11262;Narbonne;12.3
11266;Port-la-Nouvelle;7.1
11304;Quillan;7.7
11315;Rieux-Minervois;9.6
11379;Sigean;14.5
11397;Trèbes;9.9
12033;Bozouls;6
12056;Baraqueville;5.5
12089;Decazeville;7.9
12094;Entraygues-sur-Truyère;9.3
12096;Espalion;10.8
12119;Laguiole;14.1
12120;Laissac-Sévérac l'Église;9.7
12133;Luc-la-Primaube;11.3
12138;Marcillac-Vallon;6.4
12145;Millau;9.4
12148;Montbazens;11.6
12164;Mur-de-Barrez;5.8
12169;Naucelle;9.6
12176;Onet-le-Château;4.5
12185;Pont-de-Salars;9.4
12197;Réquista;8.5
12198;Rieupeyroux;9
12199;Rignac;5.4
12202;Rodez;10.5
12208;Saint-Affrique;8.8
12224;Saint Geniez d'Olt et d'Aubrac;9.6
12270;Sévérac d'Aveyron;7
12300;Villefranche-de-Rouergue;8.1
13001;Aix-en-Provence;15
13002;Allauch;9.4
13004;Arles;12.8
13005;Aubagne;16.8
13007;Auriol;9.6
13014;Berre-l'Étang;8.9
13015;Bouc-Bel-Air;11
13019;Cabriès;9.3
13022;Cassis;16.8
13026;Châteauneuf-les-Martigues;3.7
13027;Châteaurenard;8.4
13028;La Ciotat;13
13031;La Destrousse;12
13032;Éguilles;9.9
13035;Eyguières;8.1
13037;La Fare-les-Oliviers;8.4
13039;Fos-sur-Mer;10.3
13040;Fuveau;10.2
