CartoSanté; ; 
Référentiel géographique : France par territoire de vie-santé 2019; ; 
Code;Libellé;Densité de généralistes lib. 2020
11262;Narbonne;11.6
11266;Port-la-Nouvelle;0
11304;Quillan;8.9
11315;Rieux-Minervois;9.6
11379;Sigean;12.2
11397;Trèbes;10.6
12033;Bozouls;8.8
12056;Baraqueville;5.4
12089;Decazeville;7
12094;Entraygues-sur-Truyère;9.6
12096;Espalion;10.8
12119;Laguiole;11.5
12120;Laissac-Sévérac l'Église;11.1
12133;Luc-la-Primaube;10.1
12138;Marcillac-Vallon;5.5
12145;Millau;8.5
12148;Montbazens;11.6
12164;Mur-de-Barrez;7.8
12169;Naucelle;9.7
12176;Onet-le-Château;5.2
12185;Pont-de-Salars;9.5
12197;Réquista;8.6
12198;Rieupeyroux;9.1
12199;Rignac;5.3
12202;Rodez;8.9
12208;Saint-Affrique;8.4
12224;Saint Geniez d'Olt et d'Aubrac;9.5
12270;Sévérac d'Aveyron;5.3
12300;Villefranche-de-Rouergue;7.2
13001;Aix-en-Provence;14.7
13002;Allauch;11.5
13004;Arles;11.3
13005;Aubagne;16.7
13007;Auriol;8.6
13014;Berre-l'Étang;6.7
13015;Bouc-Bel-Air;12.2
13019;Cabriès;8.1
13022;Cassis;15.7
13026;Châteauneuf-les-Martigues;5.7
13027;Châteaurenard;7.7
13028;La Ciotat;13.3
13031;La Destrousse;10.9
13032;Éguilles;10.5
13035;Eyguières;8.3
13037;La Fare-les-Oliviers;8.1
13039;Fos-sur-Mer;9.6
13040;Fuveau;9.2
13041;Gardanne;11.9
13042;Gémenos;9.4
13043;Gignac-la-Nerthe;9.9
13046;Gréasque;10
13047;Istres;7.8
13050;Lambesc;10.2
13051;Lançon-Provence;7.8
13053;Mallemort;9.5
13054;Marignane;13.4
13056;Martigues;10.1
13063;Miramas;4.9
13069;Pélissanne;6.8
13070;La Penne-sur-Huveaune;9.3
13071;Les Pennes-Mirabeau;10.7
13074;Peyrolles-en-Provence;8.2
13075;Plan-de-Cuques;9.6
13077;Port-de-Bouc;6.6
13078;Port-Saint-Louis-du-Rhône;7.1
13081;Rognac;5
13084;La Roque-d'Anthéron;6.2
13086;Roquevaire;6.8
13087;Rousset;8
13091;Saint-Cannat;11.6
13092;Saint-Chamas;12
13097;Saint-Martin-de-Crau;7.7
13098;Saint-Mitre-les-Remparts;6.9
13100;Saint-Rémy-de-Provence;15.4
13102;Saint-Victoret;10.6
13103;Salon-de-Provence;10.1
13104;Sausset-les-Pins;15.7
13105;Sénas;10.1
13106;Septèmes-les-Vallons;10.9
13110;Trets;11.5
13112;Velaux;13.8
13113;Venelles;10.4
13117;Vitrolles;13
13119;Carnoux-en-Provence;11.2
13201;Marseille 1er Arrondissement;11.2
13202;Marseille 2e Arrondissement;11.3
13203;Marseille 3e Arrondissement;13.5
13204;Marseille 4e Arrondissement;11.6
13205;Marseille 5e Arrondissement;10.2
13206;Marseille 6e Arrondissement;17.8
13207;Marseille 7e Arrondissement;17.5
13208;Marseille 8e Arrondissement;18.3
13209;Marseille 9e Arrondissement;10.2
13210;Marseille 10e Arrondissement;8.9
13211;Marseille 11e Arrondissement;10.1
13212;Marseille 12e Arrondissement;10.8
13213;Marseille 13e Arrondissement;10.9
13214;Marseille 14e Arrondissement;10.3
13215;Marseille 15e Arrondissement;7
13216;Marseille 16e Arrondissement;11.8
14020;Argences;9.3
14027;Les Monts d'Aunay;7.1
14047;Bayeux;7
14101;Bretteville-sur-Odon;9
14117;Cabourg;7.1
14118;Caen;16.7
14167;Colombelles;8.2
14174;Condé-en-Normandie;7.2
14191;Courseulles-sur-Mer;10.3
14220;Deauville;15.1
14225;Dives-sur-Mer;9.7
14228;Douvres-la-Délivrande;9
14258;Falaise;6
14327;Hérouville-Saint-Clair;11.7
14333;Honfleur;8
14341;Ifs;8.5
14342;Isigny-sur-Mer;11.3
14366;Lisieux;5.7
14370;Le Molay-Littry;4.4
14371;Livarot-Pays-d'Auge;7.6
14431;Mézidon Vallée d'Auge;6.9
14437;Mondeville;9.1
14478;Orbec;5.2
14488;Ouistreham;9.3
14514;Pont-l'Évêque;7.6
14654;Saint-Pierre-en-Auge;4.9
14689;Le Hom;6.8
14712;Saline;6.3
14715;Trouville-sur-Mer;7
14738;Verson;7.8
14752;Villers-Bocage;9.1
14754;Villers-sur-Mer;9.6
14762;Vire Normandie;7.2
15014;Aurillac;9.8
15119;Massiac;7.3
15120;Mauriac;10.2
15122;Maurs;5.1
15138;Murat;9
15162;Riom-ès-Montagnes;9.6
15187;Saint-Flour;8
16015;Angoulême;8.4
16028;Barbezieux-Saint-Hilaire;9.5
16070;Chabanais;5.3
16073;Chalais;6.4
16078;Champniers;6.5
16085;Chasseneuil-sur-Bonnieure;6.4
16090;Châteauneuf-sur-Charente;6.6
16102;Cognac;7
16106;Confolens;6.5
16113;La Couronne;6.2
16154;Gond-Pontouvre;5.6
16166;L'Isle-d'Espagnac;9.1
16167;Jarnac;6.4
16192;Roumazières-Loubert;9.2
16206;Mansle;13
16223;Montbron;5.7
16281;La Rochefoucauld;7.8
16286;Rouillac;10.5
16291;Ruelle-sur-Touvre;6.6
16292;Ruffec;8.8
16374;Soyaux;4.3
17003;Aigrefeuille-d'Aunis;9
17004;Île-d'Aix;47.4
17010;Angoulins;9.2
17019;Ars-en-Ré;20.2
17024;Aulnay;9.4
17028;Aytré;9.8
17093;Le Château-d'Oléron;4.6
17094;Châtelaillon-Plage;11.2
17131;Cozes;5.3
17140;Dolus-d'Oléron;9.4
17161;La Flotte;10.9
17168;Fouras;9.8
17172;Gémozac;9.4
17197;Jonzac;11.3
17200;Lagord;11.2
17218;Marans;10.9
17219;Marennes;7.7
17224;Matha;7.4
17240;Montendre;8.9
17241;Montguyon;7.5
17264;Nieul-sur-Mer;11.7
17274;Périgny;9.2
17283;Pons;8.6
17291;Puilboreau;12.9
17299;Rochefort;9.8
17300;La Rochelle;15.9
17306;Royan;11.1
17347;Saint-Jean-d'Angély;7.8
17385;Saint-Pierre-d'Oléron;8.9
17397;Saint-Savinien;7.7
17415;Saintes;11.7
