code_tvs,annee,NB_D101,NB_D102,NB_D103,NB_D104,NB_D105,NB_D106,NB_D401
01004,2004,1,0,1,2,0,0,6
01004,2005,1,0,1,2,0,0,6
01004,2006,1,0,1,2,0,0,7
01004,2007,1,0,1,3,0,1,10
01004,2008,1,0,1,3,0,1,10
01004,2009,1,0,1,3,0,1,10
01004,2010,1,0,0,3,0,1,11
01004,2011,1,0,0,2,0,1,11
01004,2012,1,0,0,1,0,1,11
01004,2013,1,0,0,1,0,1,11
01004,2014,1,0,0,1,0,1,10
01004,2015,1,0,0,1,0,1,10
01004,2016,1,0,0,1,0,1,10
01004,2017,1,0,0,1,0,1,10
01004,2018,1,0,0,1,0,1,9
01004,2019,1,0,0,1,0,1,9
01033,2004,0,0,0,0,0,0,4
01033,2005,0,0,0,0,0,0,4
01033,2006,0,0,0,0,0,0,4
01033,2007,0,0,0,0,0,0,4
01033,2008,0,0,0,0,0,0,4
01033,2009,0,0,0,0,0,0,4
01033,2010,0,0,0,0,0,0,4
01033,2011,0,0,0,0,0,0,4
01033,2012,0,0,0,0,0,0,4
01033,2013,0,0,0,0,0,0,4
01033,2014,0,0,0,0,0,0,4
01033,2015,0,0,0,0,0,0,5
01033,2016,0,0,0,0,0,0,4
01033,2017,0,0,0,0,0,0,4
01033,2018,0,0,0,0,0,0,4
01033,2019,0,0,0,0,0,0,4
01034,2004,2,0,0,0,0,2,6
01034,2005,2,0,0,0,0,2,6
01034,2006,2,0,0,0,0,2,5
01034,2007,1,1,0,1,0,1,6
01034,2008,1,1,0,1,0,1,6
01034,2009,1,1,0,1,0,1,6
01034,2010,1,1,0,1,0,1,5
01034,2011,1,1,0,0,0,1,5
01034,2012,1,1,0,0,0,1,5
01034,2013,1,1,0,0,0,1,5
01034,2014,1,1,0,0,0,1,5
01034,2015,1,1,0,0,0,1,5
01034,2016,1,1,0,0,0,1,5
01034,2017,1,1,0,0,0,1,5
01034,2018,1,1,0,0,0,1,6
01034,2019,1,1,0,0,0,1,6
01043,2004,0,0,0,0,0,0,2
01043,2005,0,0,0,0,0,0,1
01043,2006,0,0,0,0,0,0,1
01043,2007,0,0,0,0,0,0,3
01043,2008,0,0,0,0,0,0,3
01043,2009,0,0,0,0,0,0,3
01043,2010,0,0,0,0,0,0,3
01043,2011,0,0,0,0,0,0,3
01043,2012,0,0,0,0,0,0,3
01043,2013,0,0,0,0,0,0,3
01043,2014,0,0,0,0,0,0,3
01043,2015,0,0,0,0,0,0,3
01043,2016,0,0,0,0,0,0,3
01043,2017,0,0,0,0,0,0,3
01043,2018,0,0,0,0,0,0,3
01043,2019,0,0,0,0,0,0,3
01053,2004,2,1,1,2,0,0,8
01053,2005,2,1,1,2,0,0,8
01053,2006,2,1,1,2,0,0,8
01053,2007,1,1,1,2,0,1,10
01053,2008,1,1,1,2,0,1,10
01053,2009,1,1,1,2,0,1,10
01053,2010,1,1,1,2,0,1,10
01053,2011,1,1,1,3,0,1,10
01053,2012,1,1,1,3,0,1,10
01053,2013,1,1,2,3,0,1,10
01053,2014,1,2,2,3,0,1,10
01053,2015,1,2,2,3,0,1,10
01053,2016,1,3,2,3,0,1,10
01053,2017,1,3,2,3,0,1,10
01053,2018,1,3,2,3,0,1,10
01053,2019,2,3,2,3,0,2,10
01093,2004,0,2,1,0,0,0,4
01093,2005,0,2,1,0,0,0,4
01093,2006,0,2,1,0,0,0,4
01093,2007,0,2,1,0,0,0,4
01093,2008,0,1,1,0,0,0,4
01093,2009,0,1,1,0,0,0,4
01093,2010,0,1,0,0,0,0,4
01093,2011,0,0,0,0,0,0,4
01093,2012,0,0,0,0,0,0,4
01093,2013,0,0,0,0,0,0,4
01093,2014,0,0,0,0,0,0,5
01093,2015,0,0,0,0,0,0,5
01093,2016,0,0,0,0,0,0,5
01093,2017,0,0,0,1,0,0,5
01093,2018,0,0,0,1,0,0,5
01093,2019,0,0,0,1,0,0,5
01134,2004,1,0,1,0,0,1,1
01134,2005,1,0,1,0,0,1,1
01134,2006,1,0,1,0,0,1,1
01134,2007,1,1,1,0,0,0,1
01134,2008,1,1,1,0,0,0,1
01134,2009,1,1,1,0,0,0,1
01134,2010,1,1,1,0,0,0,1
01134,2011,1,1,1,0,0,0,1
01134,2012,1,1,1,0,0,0,1
01134,2013,1,1,1,0,0,0,1
01134,2014,1,1,1,0,0,0,1
01134,2015,1,1,1,0,0,0,2
01134,2016,1,1,1,0,0,0,2
01134,2017,1,1,1,0,0,0,2
01134,2018,1,1,1,0,0,0,2
01134,2019,1,1,1,0,0,0,2
01143,2004,0,0,0,0,0,0,1
01143,2005,0,0,0,0,0,0,1
01143,2006,0,0,0,0,0,0,1
01143,2007,0,0,0,0,0,0,1
01143,2008,0,0,0,0,0,0,1
01143,2009,0,0,0,0,0,0,1
01143,2010,0,0,0,0,0,0,1
01143,2011,0,0,0,0,0,0,1
01143,2012,0,0,0,0,0,0,1
01143,2013,0,0,0,0,0,0,1
01143,2014,0,0,0,0,0,0,1
01143,2015,0,0,0,0,0,0,1
01143,2016,0,0,0,0,0,0,1
01143,2017,0,0,0,0,0,0,1
01143,2018,0,0,0,0,0,0,1
01143,2019,0,0,0,0,0,0,1
01160,2004,1,0,0,0,0,0,0
01160,2005,1,0,0,0,0,0,0
01160,2006,1,0,0,0,0,0,0
01160,2007,1,0,0,0,0,0,2
01160,2008,1,0,0,0,0,0,2
01160,2009,1,0,0,0,0,0,2
01160,2010,1,0,0,0,0,0,2
01160,2011,1,0,0,0,0,0,2
01160,2012,1,0,0,0,0,0,2
01160,2013,1,0,0,0,0,0,2
01160,2014,1,0,0,0,0,0,2
01160,2015,1,0,0,0,0,0,2
01160,2016,1,0,0,0,0,0,2
01160,2017,1,0,0,0,0,0,2
01160,2018,1,0,0,0,0,0,2
01160,2019,1,0,0,0,0,0,2
01173,2004,1,0,1,0,0,1,1
01173,2005,1,0,1,0,0,1,1
01173,2006,1,0,1,0,0,1,1
01173,2007,1,1,1,0,0,0,2
01173,2008,1,1,1,0,0,0,2
01173,2009,1,1,1,0,0,0,2
01173,2010,1,1,1,0,0,0,2
01173,2011,1,1,1,0,0,0,2
01173,2012,0,1,1,0,0,0,2
01173,2013,0,1,1,0,0,0,2
01173,2014,0,1,1,0,0,0,2
01173,2015,0,1,1,0,0,0,2
01173,2016,0,1,1,0,0,0,2
01173,2017,0,1,1,0,0,0,2
01173,2018,0,1,1,0,0,0,2
01173,2019,0,1,1,0,0,0,2
01185,2004,3,5,1,2,0,3,4
01185,2005,3,5,1,2,0,3,4
01185,2006,3,5,1,2,0,3,4
01185,2007,1,8,1,2,0,0,6
01185,2008,1,8,1,2,0,0,5
01185,2009,1,8,1,2,0,0,5
01185,2010,1,8,0,2,0,0,7
01185,2011,1,8,0,2,0,0,8
01185,2012,1,8,0,2,0,0,7
01185,2013,1,8,0,2,0,0,7
01185,2014,1,8,0,1,0,0,7
01185,2015,1,8,0,1,0,0,6
01185,2016,2,8,0,1,0,0,7
01185,2017,2,8,0,1,0,0,7
01185,2018,2,8,0,1,0,0,7
01185,2019,2,8,0,0,0,0,7
01194,2004,0,1,0,0,0,0,0
01194,2005,0,1,0,0,0,0,0
01194,2006,0,1,0,0,0,0,0
01194,2007,0,1,0,0,0,0,1
01194,2008,0,1,0,0,0,0,1
01194,2009,0,1,0,0,0,0,2
01194,2010,0,1,0,0,0,0,2
01194,2011,0,1,0,0,0,0,1
01194,2012,0,1,0,0,0,0,2
01194,2013,0,1,0,0,0,0,2
01194,2014,0,1,0,0,0,0,2
01194,2015,0,1,0,0,0,0,2
01194,2016,0,1,0,0,0,0,2
01194,2017,0,1,0,0,0,0,2
01194,2018,0,1,0,0,0,0,2
01194,2019,0,1,0,0,0,0,2
01202,2004,0,0,0,0,0,0,2
01202,2005,0,0,0,0,0,0,2
01202,2006,0,0,0,0,0,0,2
01202,2007,0,0,0,0,0,0,2
01202,2008,0,0,0,0,0,0,2
01202,2009,0,0,0,0,0,0,2
01202,2010,0,0,0,0,0,0,3
01202,2011,0,0,0,0,0,0,3
01202,2012,0,0,0,0,0,0,3
01202,2013,0,0,0,0,0,0,3
01202,2014,0,0,0,0,0,0,3
01202,2015,0,0,0,0,0,0,3
01202,2016,0,0,0,0,0,0,3
01202,2017,0,0,0,0,0,0,3
01202,2018,0,0,0,0,0,0,3
01202,2019,0,0,0,0,0,0,3
01244,2004,2,0,2,0,0,2,3
01244,2005,2,0,2,0,0,2,3
01244,2006,2,0,2,0,0,2,3
01244,2007,1,2,2,0,0,0,4
01244,2008,1,1,1,0,0,0,4
01244,2009,1,1,1,0,0,0,4
01244,2010,1,1,0,0,0,0,4
01244,2011,1,1,0,0,0,0,4
01244,2012,1,1,0,0,0,0,4
01244,2013,1,1,0,0,0,0,5
01244,2014,1,1,0,0,0,0,5
01244,2015,1,1,0,0,0,0,5
01244,2016,1,1,0,0,0,0,6
01244,2017,1,1,0,0,0,0,5
01244,2018,1,1,0,0,0,0,4
01244,2019,1,1,0,0,0,0,4
01249,2004,1,0,0,0,0,0,2
01249,2005,1,0,0,0,0,0,2
01249,2006,1,0,0,0,0,0,2
